STRESSOR_NAME,DATA_TYPE,CAS_RN,INCHIKEY_STANDARD...4,MANUAL_CHECK,CHEMICAL_ID,CHEMICAL_NAME,INCHIKEY_STANDARD...8,same_inchikey,Select_CHEMICAL_ID,Select_INCHIKEY,inchikey
Perfluorheksadekansyre (PFHxDA),Stressor,67905-19-5,OJMBMWRMTMHMSZ-UHFFFAOYSA-N,SAW,484,perfluorohexadecanoic acid,OJMBMWRMTMHMSZ-UHFFFAOYSA-N,TRUE,484,OJMBMWRMTMHMSZ-UHFFFAOYSA-N,GYNWSIBKBBWJJW-ZQMNIGHUSA-N
Kalium,Stressor,7440-09-7,ZLMJMSJWJFRBEC-UHFFFAOYSA-N,SAW,502,potassium,ZLMJMSJWJFRBEC-UHFFFAOYSA-N,TRUE,502,ZLMJMSJWJFRBEC-UHFFFAOYSA-N,NPYPAHLBTDXSSS-UHFFFAOYSA-N
Heptaklorepoksid,Stressor,1024-57-3,ZXFXBSWRVIQKOD-UOFFAGTMSA-N,SAW,675,"(1S,2R,3S,5S,6R,7S,8R)-1,6,8,9,10,11,11-heptachloro-4-oxatetracyclo[6.2.1.02,7.03,5]undec-9-ene",ZXFXBSWRVIQKOD-UOFFAGTMSA-N,TRUE,675,ZXFXBSWRVIQKOD-UOFFAGTMSA-N,ZXFXBSWRVIQKOD-UHFFFAOYSA-N
Trikresylfosfat (TCrP),Stressor,1330-78-5,BOSMZFBHAYFUBJ-UHFFFAOYSA-N,SAW,593,tri-p-cresyl phosphate,BOSMZFBHAYFUBJ-UHFFFAOYSA-N,TRUE,593,BOSMZFBHAYFUBJ-UHFFFAOYSA-N,BOSMZFBHAYFUBJ-UHFFFAOYSA-N
Tributylfosfat (TBP),Stressor,126-73-8,STCOOQWBFONSKY-UHFFFAOYSA-N,SAW,594,tributyl phosphate,STCOOQWBFONSKY-UHFFFAOYSA-N,TRUE,594,STCOOQWBFONSKY-UHFFFAOYSA-N,STCOOQWBFONSKY-UHFFFAOYSA-N
Fosfat,Quality parameter,7723-14-0,NBIIXXVUZAFLBC-UHFFFAOYSA-K,SAW,599,phosphorus,OAICVXFJPJFONN-UHFFFAOYSA-N,FALSE,NA,NBIIXXVUZAFLBC-UHFFFAOYSA-K,XYFCBTPGUUZFHI-UHFFFAOYSA-N
Totalfosfor,Quality parameter,7723-14-0,NBIIXXVUZAFLBC-UHFFFAOYSA-K,SAW,599,phosphorus,OAICVXFJPJFONN-UHFFFAOYSA-N,FALSE,599,OAICVXFJPJFONN-UHFFFAOYSA-N,XYFCBTPGUUZFHI-UHFFFAOYSA-N
Tri(2-butoxyetyl)fosfat (TBEP),Stressor,78-51-3,WTLBZVNBAKMVDP-UHFFFAOYSA-N,SAW,603,tris(2-butoxyethyl) phosphate,WTLBZVNBAKMVDP-UHFFFAOYSA-N,TRUE,603,WTLBZVNBAKMVDP-UHFFFAOYSA-N,WTLBZVNBAKMVDP-UHFFFAOYSA-N
Tributyltinn kation (TBT),Stressor,36643-28-4,LSKGFBJLYWXIOF-UHFFFAOYSA-N,SAW,606,tributyltin cation,LSKGFBJLYWXIOF-UHFFFAOYSA-N,TRUE,606,LSKGFBJLYWXIOF-UHFFFAOYSA-N,LSKGFBJLYWXIOF-UHFFFAOYSA-N
Triisobutylfosfat (TIBP),Stressor,126-71-6,HRKAMJBPFPHCSD-UHFFFAOYSA-N,SAW,613,triisobutyl phosphate,HRKAMJBPFPHCSD-UHFFFAOYSA-N,TRUE,613,HRKAMJBPFPHCSD-UHFFFAOYSA-N,HRKAMJBPFPHCSD-UHFFFAOYSA-N
Trifenyltinn kation (TPhT),Stressor,668-34-8,XBRCDWHXULVEFB-UHFFFAOYSA-N,SAW,620,triphenylstannanylium,XBRCDWHXULVEFB-UHFFFAOYSA-N,TRUE,620,XBRCDWHXULVEFB-UHFFFAOYSA-N,ABXCJTOPCUUGBF-UHFFFAOYSA-N
"Tri(1,3-diklor-2-propyl) fosfat (TDCP)",Stressor,13674-87-8,ASLWPAWFJZFCKF-UHFFFAOYSA-N,SAW,621,"tris(1,3-dichloro-2-propyl)phosphate",ASLWPAWFJZFCKF-UHFFFAOYSA-N,TRUE,621,ASLWPAWFJZFCKF-UHFFFAOYSA-N,ASLWPAWFJZFCKF-UHFFFAOYSA-N
Tri(1-klor-2-propyl) fosfat,Stressor,13674-84-5,KVMPUXDNESXNOH-UHFFFAOYSA-N,SAW,622,tris(1-chloro-2-propyl) phosphate,KVMPUXDNESXNOH-UHFFFAOYSA-N,TRUE,622,KVMPUXDNESXNOH-UHFFFAOYSA-N,KVMPUXDNESXNOH-UHFFFAOYSA-N
Tri(2-kloroetyl)fosfat (TCEP),Stressor,115-96-8,HQUQLFOMPYWACS-UHFFFAOYSA-N,SAW,623,tris(2-chloroethyl) phosphate,HQUQLFOMPYWACS-UHFFFAOYSA-N,TRUE,623,HQUQLFOMPYWACS-UHFFFAOYSA-N,HQUQLFOMPYWACS-UHFFFAOYSA-N
N-etyl perfluoroktansulfonamid (N-EtFOSA),Stressor,4151-50-2,CCEKAJIANROZEO-UHFFFAOYSA-N,SAW,1524,"n-ethyl-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonamide",CCEKAJIANROZEO-UHFFFAOYSA-N,TRUE,1524,CCEKAJIANROZEO-UHFFFAOYSA-N,CCEKAJIANROZEO-UHFFFAOYSA-N
Dekametylsyklopentasiloksan (D5),Stressor,541-02-6,XMSXQFUHVRWGNA-UHFFFAOYSA-N,SAW,1654,"2,2,4,4,6,6,8,8,10,10-decamethyl-1,3,5,7,9,2,4,6,8,10-pentaoxapentasilecane",XMSXQFUHVRWGNA-UHFFFAOYSA-N,TRUE,1654,XMSXQFUHVRWGNA-UHFFFAOYSA-N,XMSXQFUHVRWGNA-UHFFFAOYSA-N
Oktametylsyklotetrasiloksan (D4),Stressor,556-67-2,HMMGMWAXVFQUOA-UHFFFAOYSA-N,SAW,1680,octamethylcyclotetrasiloxane,HMMGMWAXVFQUOA-UHFFFAOYSA-N,TRUE,1680,HMMGMWAXVFQUOA-UHFFFAOYSA-N,HMMGMWAXVFQUOA-UHFFFAOYSA-N
Perfluoroktansulfonamid (PFOSA),Stressor,754-91-6,RRRXPPIDPYTNJG-UHFFFAOYSA-N,SAW,1924,perfluorooctanesulfonamide,RRRXPPIDPYTNJG-UHFFFAOYSA-N,TRUE,1924,RRRXPPIDPYTNJG-UHFFFAOYSA-N,RRRXPPIDPYTNJG-UHFFFAOYSA-N
"2,4,6-tribromanisol",Stressor,607-99-8,YXTRCOAFNXQTKL-UHFFFAOYSA-N,SAW,16502,"2,4,6-tribromoanisole",YXTRCOAFNXQTKL-UHFFFAOYSA-N,TRUE,16502,YXTRCOAFNXQTKL-UHFFFAOYSA-N,YXTRCOAFNXQTKL-UHFFFAOYSA-N
Perylen,Stressor,198-55-0,CSHWQDPOILHKBI-UHFFFAOYSA-N,SAW,15632,perylene,CSHWQDPOILHKBI-UHFFFAOYSA-N,TRUE,15632,CSHWQDPOILHKBI-UHFFFAOYSA-N,CSHWQDPOILHKBI-UHFFFAOYSA-N
"3,6-dimetylfenantren",Stressor,1576-67-6,OMIBPZBOAJFEJS-UHFFFAOYSA-N,SAW,17713,"3,6-dimethylphenanthrene",OMIBPZBOAJFEJS-UHFFFAOYSA-N,TRUE,17713,OMIBPZBOAJFEJS-UHFFFAOYSA-N,OMIBPZBOAJFEJS-UHFFFAOYSA-N
"2,3,5-trimetylnaftalen",Stressor,2245-38-7,JBXULKRNHAQMAS-UHFFFAOYSA-N,SAW,17256,"2,3,5-trimethylnaphthalene",JBXULKRNHAQMAS-UHFFFAOYSA-N,TRUE,17256,JBXULKRNHAQMAS-UHFFFAOYSA-N,JBXULKRNHAQMAS-UHFFFAOYSA-N
Selen,Stressor,7782-49-2,BUGBHKTXTAQXES-UHFFFAOYSA-N,SAW,19201,selenium,BUGBHKTXTAQXES-UHFFFAOYSA-N,TRUE,19201,BUGBHKTXTAQXES-UHFFFAOYSA-N,BUGBHKTXTAQXES-UHFFFAOYSA-N
op'-DDE,Stressor,3424-82-6,ZDYJWDIWLRZXDB-UHFFFAOYSA-N,SAW,18565,"1-Chloro-2-[2,2-dichloro-1-(4-chlorophenyl)vinyl]benzene",ZDYJWDIWLRZXDB-UHFFFAOYSA-N,TRUE,18565,ZDYJWDIWLRZXDB-UHFFFAOYSA-N,ZDYJWDIWLRZXDB-UHFFFAOYSA-N
Formiat,Stressor,71-47-6,BDAGIHXWWSANSR-UHFFFAOYSA-M,SAW,19281,formate,BDAGIHXWWSANSR-UHFFFAOYSA-M,TRUE,19281,BDAGIHXWWSANSR-UHFFFAOYSA-M,BDAGIHXWWSANSR-UHFFFAOYSA-M
Jern,Stressor,7439-89-6,XEEYBQQBJWHFJM-UHFFFAOYSA-N,SAW,18970,iron,XEEYBQQBJWHFJM-UHFFFAOYSA-N,TRUE,18970,XEEYBQQBJWHFJM-UHFFFAOYSA-N,XEEYBQQBJWHFJM-UHFFFAOYSA-N
Lantan,Stressor,7439-91-0,FZLIPJUXYLNCLC-UHFFFAOYSA-N,SAW,18971,lanthanum,FZLIPJUXYLNCLC-UHFFFAOYSA-N,TRUE,18971,FZLIPJUXYLNCLC-UHFFFAOYSA-N,FZLIPJUXYLNCLC-UHFFFAOYSA-N
Mangan,Stressor,7439-96-5,PWHULOQIROXLJO-UHFFFAOYSA-N,SAW,18974,manganese,PWHULOQIROXLJO-UHFFFAOYSA-N,TRUE,18974,PWHULOQIROXLJO-UHFFFAOYSA-N,WAEMQWOKJMHJLA-UHFFFAOYSA-N
Molybden,Stressor,7439-98-7,ZOKXTWBITQBERF-UHFFFAOYSA-N,SAW,18975,molybdenum,ZOKXTWBITQBERF-UHFFFAOYSA-N,TRUE,18975,ZOKXTWBITQBERF-UHFFFAOYSA-N,ZOKXTWBITQBERF-UHFFFAOYSA-N
Neodym,Stressor,7440-00-8,QEFYFXOXNSNQGX-UHFFFAOYSA-N,SAW,18977,neodymium,QEFYFXOXNSNQGX-UHFFFAOYSA-N,TRUE,18977,QEFYFXOXNSNQGX-UHFFFAOYSA-N,QEFYFXOXNSNQGX-UHFFFAOYSA-N
Niob,Stressor,7440-03-1,GUCVJGMIXFAOAE-UHFFFAOYSA-N,SAW,18978,niobium,GUCVJGMIXFAOAE-UHFFFAOYSA-N,TRUE,18978,GUCVJGMIXFAOAE-UHFFFAOYSA-N,GUCVJGMIXFAOAE-UHFFFAOYSA-N
Samarium,Stressor,7440-19-9,KZUNJOHGWZRPMI-UHFFFAOYSA-N,SAW,18990,samarium,KZUNJOHGWZRPMI-UHFFFAOYSA-N,TRUE,18990,KZUNJOHGWZRPMI-UHFFFAOYSA-N,KZUNJOHGWZRPMI-UHFFFAOYSA-N
Silisium,Stressor,7440-21-3,XUIMIQQOPSSXEZ-UHFFFAOYSA-N,SAW,18992,silicon,XUIMIQQOPSSXEZ-UHFFFAOYSA-N,TRUE,18992,XUIMIQQOPSSXEZ-UHFFFAOYSA-N,XUIMIQQOPSSXEZ-UHFFFAOYSA-N
Sølv,Stressor,7440-22-4,BQCADISMDOOEFD-UHFFFAOYSA-N,SAW,18993,silver,BQCADISMDOOEFD-UHFFFAOYSA-N,TRUE,18993,BQCADISMDOOEFD-UHFFFAOYSA-N,BQCADISMDOOEFD-UHFFFAOYSA-N
Strontium,Stressor,7440-24-6,CIOAGBVUUVVLOB-UHFFFAOYSA-N,SAW,18994,strontium,CIOAGBVUUVVLOB-UHFFFAOYSA-N,TRUE,18994,CIOAGBVUUVVLOB-UHFFFAOYSA-N,CIOAGBVUUVVLOB-UHFFFAOYSA-N
Tantal,Stressor,7440-25-7,GUVRBAGPIYLISA-UHFFFAOYSA-N,SAW,18995,tantalum,GUVRBAGPIYLISA-UHFFFAOYSA-N,TRUE,18995,GUVRBAGPIYLISA-UHFFFAOYSA-N,GUVRBAGPIYLISA-UHFFFAOYSA-N
Thallium,Stressor,7440-28-0,BKVIYDNLLOSFOA-UHFFFAOYSA-N,SAW,18998,thallium,BKVIYDNLLOSFOA-UHFFFAOYSA-N,TRUE,18998,BKVIYDNLLOSFOA-UHFFFAOYSA-N,BKVIYDNLLOSFOA-UHFFFAOYSA-N
Thorium,Stressor,7440-29-1,ZSLUVFAKFWKJRC-UHFFFAOYSA-N,SAW,18999,thorium,ZSLUVFAKFWKJRC-UHFFFAOYSA-N,TRUE,18999,ZSLUVFAKFWKJRC-UHFFFAOYSA-N,NA
Titan,Stressor,7440-32-6,RTAQQCXQSZGOHL-UHFFFAOYSA-N,SAW,19002,titanium,RTAQQCXQSZGOHL-UHFFFAOYSA-N,TRUE,19002,RTAQQCXQSZGOHL-UHFFFAOYSA-N,URJOZSLMTIRWFW-QGZVFWFLSA-N
Wolfram,Stressor,7440-33-7,WFKWXMTUELFFGS-UHFFFAOYSA-N,SAW,19003,tungsten,WFKWXMTUELFFGS-UHFFFAOYSA-N,TRUE,19003,WFKWXMTUELFFGS-UHFFFAOYSA-N,WFKWXMTUELFFGS-UHFFFAOYSA-N
Antimon,Stressor,7440-36-0,WATWJIUSRGPENY-UHFFFAOYSA-N,SAW,19005,antimony,WATWJIUSRGPENY-UHFFFAOYSA-N,TRUE,19005,WATWJIUSRGPENY-UHFFFAOYSA-N,WUOBERCRSABHOT-UHFFFAOYSA-N
Cerium,Stressor,7440-45-1,GWXLDORMOJMVQZ-UHFFFAOYSA-N,SAW,19009,cerium,GWXLDORMOJMVQZ-UHFFFAOYSA-N,TRUE,19009,GWXLDORMOJMVQZ-UHFFFAOYSA-N,GWXLDORMOJMVQZ-UHFFFAOYSA-N
Kobolt,Stressor,7440-48-4,GUTLYIVDDKVIGB-UHFFFAOYSA-N,SAW,19011,cobalt,GUTLYIVDDKVIGB-UHFFFAOYSA-N,TRUE,19011,GUTLYIVDDKVIGB-UHFFFAOYSA-N,GUTLYIVDDKVIGB-UHFFFAOYSA-N
Holmium,Stressor,7440-60-0,KJZYNXUDTRRSPN-UHFFFAOYSA-N,SAW,19020,holmium,KJZYNXUDTRRSPN-UHFFFAOYSA-N,TRUE,19020,KJZYNXUDTRRSPN-UHFFFAOYSA-N,KJZYNXUDTRRSPN-UHFFFAOYSA-N
Uran,Stressor,7440-61-1,JFALSRSLKYAFGM-UHFFFAOYSA-N,SAW,19021,uranium,JFALSRSLKYAFGM-UHFFFAOYSA-N,TRUE,19021,JFALSRSLKYAFGM-UHFFFAOYSA-N,JFALSRSLKYAFGM-UHFFFAOYSA-N
Vanadium,Stressor,7440-62-2,LEONUFNNVUYDNQ-UHFFFAOYSA-N,SAW,19022,vanadium,LEONUFNNVUYDNQ-UHFFFAOYSA-N,TRUE,19022,LEONUFNNVUYDNQ-UHFFFAOYSA-N,LEONUFNNVUYDNQ-UHFFFAOYSA-N
Ytterbium,Stressor,7440-64-4,NAWDYIZEMPQZHO-UHFFFAOYSA-N,SAW,19023,ytterbium,NAWDYIZEMPQZHO-UHFFFAOYSA-N,TRUE,19023,NAWDYIZEMPQZHO-UHFFFAOYSA-N,NAWDYIZEMPQZHO-UHFFFAOYSA-N
Yttrium,Stressor,7440-65-5,VWQVUPCCIRVNHF-UHFFFAOYSA-N,SAW,19024,yttrium,VWQVUPCCIRVNHF-UHFFFAOYSA-N,TRUE,19024,VWQVUPCCIRVNHF-UHFFFAOYSA-N,VWQVUPCCIRVNHF-UHFFFAOYSA-N
Zirkonium,Stressor,7440-67-7,QCWXUUIWCKQGHC-UHFFFAOYSA-N,SAW,19025,zirconium,QCWXUUIWCKQGHC-UHFFFAOYSA-N,TRUE,19025,QCWXUUIWCKQGHC-UHFFFAOYSA-N,QCWXUUIWCKQGHC-UHFFFAOYSA-N
Vismut,Stressor,7440-69-9,JCXGWMGPZLAOME-UHFFFAOYSA-N,SAW,19026,bismuth,JCXGWMGPZLAOME-UHFFFAOYSA-N,TRUE,19026,JCXGWMGPZLAOME-UHFFFAOYSA-N,JCXGWMGPZLAOME-UHFFFAOYSA-N
Indium,Stressor,7440-74-6,APFVFJFRJDLVQX-UHFFFAOYSA-N,SAW,19027,indigane,CXQHBGCUHODCNP-UHFFFAOYSA-N,FALSE,NA,APFVFJFRJDLVQX-UHFFFAOYSA-N,APFVFJFRJDLVQX-UHFFFAOYSA-N
PCB28,Stressor,7012-37-5,BZTYNSQSZHARAZ-UHFFFAOYSA-N,SAW,18865,"2,4,4'-trichlorobiphenyl",BZTYNSQSZHARAZ-UHFFFAOYSA-N,TRUE,18865,BZTYNSQSZHARAZ-UHFFFAOYSA-N,BZTYNSQSZHARAZ-UHFFFAOYSA-N
HpCDD (D73),Stressor,35822-46-9,WCLNVRQZUKYVAI-UHFFFAOYSA-N,SAW,23012,heptachlorodibenzo-p-dioxin,WCLNVRQZUKYVAI-UHFFFAOYSA-N,TRUE,23012,WCLNVRQZUKYVAI-UHFFFAOYSA-N,WCLNVRQZUKYVAI-UHFFFAOYSA-N
OCDF (F135),Stressor,39001-02-0,RHIROFAGUQOFLU-UHFFFAOYSA-N,SAW,22744,octachlorodibenzofuran,RHIROFAGUQOFLU-UHFFFAOYSA-N,TRUE,22744,RHIROFAGUQOFLU-UHFFFAOYSA-N,LAVBYUINWLUFET-UHFFFAOYSA-N
Scandium,Stressor,7440-20-2,SIXSYDAISGFNSX-UHFFFAOYSA-N,SAW,22808,scandium,SIXSYDAISGFNSX-UHFFFAOYSA-N,TRUE,22808,SIXSYDAISGFNSX-UHFFFAOYSA-N,SIXSYDAISGFNSX-UHFFFAOYSA-N
PCB189,Stressor,39635-31-9,XUAWBXBYHDRROL-UHFFFAOYSA-N,SAW,22824,"2,3,3',4,4',5,5'-heptachlorobiphenyl",XUAWBXBYHDRROL-UHFFFAOYSA-N,TRUE,22824,XUAWBXBYHDRROL-UHFFFAOYSA-N,XUAWBXBYHDRROL-UHFFFAOYSA-N
Sum TetraBDE,Stressor,40088-47-9,VIHUMJGEWQPWOT-UHFFFAOYSA-N,SAW,22839,74gbi36957,VIHUMJGEWQPWOT-UHFFFAOYSA-N,TRUE,22839,VIHUMJGEWQPWOT-UHFFFAOYSA-N,VIHUMJGEWQPWOT-UHFFFAOYSA-N
HpCDF (F134),Stressor,55673-89-7,VEZCTZWLJYWARH-UHFFFAOYSA-N,SAW,22642,"1,2,3,4,7,8,9-heptachlorodibenzofuran",VEZCTZWLJYWARH-UHFFFAOYSA-N,TRUE,22642,VEZCTZWLJYWARH-UHFFFAOYSA-N,VEZCTZWLJYWARH-UHFFFAOYSA-N
Oktaklorstyren,Stressor,29082-74-4,RUYUCCQRWINUHE-UHFFFAOYSA-N,SAW,22110,octachlorostyrene,RUYUCCQRWINUHE-UHFFFAOYSA-N,TRUE,22110,RUYUCCQRWINUHE-UHFFFAOYSA-N,RUYUCCQRWINUHE-UHFFFAOYSA-N
PCB138,Stressor,35065-28-2,RPUMZMSNLZHIGZ-UHFFFAOYSA-N,SAW,21795,"2,2',3,4,4',5'-hexachlorobiphenyl",RPUMZMSNLZHIGZ-UHFFFAOYSA-N,TRUE,21795,RPUMZMSNLZHIGZ-UHFFFAOYSA-N,RPUMZMSNLZHIGZ-UHFFFAOYSA-N
PCB31,Stressor,16606-02-3,VAHKBZSAUKPEOV-UHFFFAOYSA-N,SAW,21302,"2,4',5-trichlorobiphenyl",VAHKBZSAUKPEOV-UHFFFAOYSA-N,TRUE,21302,VAHKBZSAUKPEOV-UHFFFAOYSA-N,VAHKBZSAUKPEOV-UHFFFAOYSA-N
"Krom, seksverdig",Stressor,18540-29-9,JOPOVCBBYLSVDA-UHFFFAOYSA-N,SAW,20756,chromium(vi),JOPOVCBBYLSVDA-UHFFFAOYSA-N,TRUE,20756,JOPOVCBBYLSVDA-UHFFFAOYSA-N,UUMMHAPECIIHJR-UHFFFAOYSA-N
HxCDD (D70),Stressor,19408-74-3,LGIRBUBHIWTVCK-UHFFFAOYSA-N,SAW,20823,"1,2,3,7,8,9-hexachlorodibenzo-p-dioxin",LGIRBUBHIWTVCK-UHFFFAOYSA-N,TRUE,20823,LGIRBUBHIWTVCK-UHFFFAOYSA-N,LGIRBUBHIWTVCK-UHFFFAOYSA-N
Jern(III),Stressor,20074-52-6,VTLYFUHAOXGGBS-UHFFFAOYSA-N,SAW,33669,ferric ion,VTLYFUHAOXGGBS-UHFFFAOYSA-N,TRUE,33669,VTLYFUHAOXGGBS-UHFFFAOYSA-N,VTLYFUHAOXGGBS-UHFFFAOYSA-N
Bly,Stressor,7439-92-1,WABPQHHGFIMREM-UHFFFAOYSA-N,SAW,42020,lead,WABPQHHGFIMREM-UHFFFAOYSA-N,TRUE,42020,WABPQHHGFIMREM-UHFFFAOYSA-N,WABPQHHGFIMREM-UHFFFAOYSA-N
Aluminium,Stressor,7429-90-5,XAGFODPZIPBFFR-UHFFFAOYSA-N,SAW,42040,aluminum,XAGFODPZIPBFFR-UHFFFAOYSA-N,TRUE,42040,XAGFODPZIPBFFR-UHFFFAOYSA-N,XAGFODPZIPBFFR-UHFFFAOYSA-N
