STRESSOR_NAME,DATA_TYPE,CAS_RN,INCHIKEY_STANDARD,MANUAL_CHECK,NOTE,NEW,Frequency
"2,4-dimetylfenol",NA,CAS_105-67-9,KUFFULVDNCHOFZ-UHFFFAOYSA-N,NA,NA,NA,NA
N-nitrosometyletylamin,NA,CAS_10595-95-6,RTDCJKARQCRONF-UHFFFAOYSA-N,NA,NA,NA,NA
p-Xylen,NA,CAS_106-42-3,URLKBWYHVLBVBO-UHFFFAOYSA-N,NA,NA,NA,NA
p-Cresol,NA,CAS_106-44-5,IWDCLRJOBJJRNH-UHFFFAOYSA-N,NA,NA,NA,NA
"1,4-diklorbenzen",NA,CAS_106-46-7,OCJBOOLMMGQPQU-UHFFFAOYSA-N,NA,NA,NA,NA
4-klorfenol,NA,CAS_106-48-9,WXNZTHHGJRFXKQ-UHFFFAOYSA-N,NA,NA,NA,NA
"1,2-dibrometan",NA,CAS_106-93-4,PAAZPARNPHGIKF-UHFFFAOYSA-N,NA,NA,NA,NA
"1,2-dikloretan",NA,CAS_107-06-2,WSLDOOZREJYCGB-UHFFFAOYSA-N,NA,NA,NA,NA
Glykol,NA,CAS_107-21-1,LYCAIKOWRPUZTN-UHFFFAOYSA-N,NA,NA,NA,NA
Heksametyldisiloksan (MM),NA,CAS_107-46-0,UQEAIHBTYFGYIE-UHFFFAOYSA-N,NA,NA,NA,NA
Tetradekametylsykloheptasiloksan (D7),NA,CAS_107-50-6,GSANOGQCVHBHIF-UHFFFAOYSA-N,NA,NA,NA,NA
Oktametyltrisiloksan (L3),NA,CAS_107-51-7,CXQXSVUQTKDNFP-UHFFFAOYSA-N,NA,NA,NA,NA
m-Xylen,NA,CAS_108-38-3,IVSZLXZYQVIEFR-UHFFFAOYSA-N,NA,NA,NA,NA
m-Cresol,NA,CAS_108-39-4,RLSSMJSEOOYNOY-UHFFFAOYSA-N,NA,NA,NA,NA
3-klorfenol,NA,CAS_108-43-0,HORNXRXVQWOLPJ-UHFFFAOYSA-N,NA,NA,NA,NA
"1,3,5-trimetylbenzen",NA,CAS_108-67-8,AUHZEENZYGFFBQ-UHFFFAOYSA-N,NA,NA,NA,NA
"3,5-dimetylfenol",NA,CAS_108-68-9,TUAMRELNJMMDMT-UHFFFAOYSA-N,NA,NA,NA,NA
"1,3,5-triklorbenzen",NA,CAS_108-70-3,XKEFYDZQGKAQCN-UHFFFAOYSA-N,NA,NA,NA,NA
Toluen,NA,CAS_108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,NA,NA,NA,NA
Klorbenzen,NA,CAS_108-90-7,MVPPADPHJFYWMZ-UHFFFAOYSA-N,NA,NA,NA,NA
Fenol,NA,CAS_108-95-2,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,NA,NA,NA,NA
Piperazin,NA,CAS_110-85-0,GLUUGHFHXGJENI-UHFFFAOYSA-N,NA,NA,NA,NA
N-nitrosodietanolamin,NA,CAS_1116-54-7,YFCDLVPYFMHRQZ-UHFFFAOYSA-N,NA,NA,NA,NA
"N,N-Dimetyldodecylamin",NA,CAS_112-18-5,YWFWDNVOPHGWMX-UHFFFAOYSA-N,NA,NA,NA,NA
"N,N-Dimetylheksadecylamin",NA,CAS_112-69-6,NHLUVTZJQOJKCC-UHFFFAOYSA-N,NA,NA,NA,NA
"N,N-dimetyltetradecylamin",NA,CAS_112-75-4,SFBHPFQSSDCYSL-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluor(2-etoksyetan)sulfonsyre,NA,CAS_113507-82-7,RJGUAQKOHAABLK-UHFFFAOYSA-N,NA,NA,NA,NA
Docetaxel (legemiddel),NA,CAS_114977-28-5,ZDZOTLJHXYCWBA-VCVYQWHSSA-N,NA,NA,NA,NA
Klorendik anhydrid,NA,CAS_115-27-5,FLBJFXNAEMSXGL-UHFFFAOYSA-N,NA,NA,NA,NA
Endosulfan,NA,CAS_115-29-7,RDYMFSUJUZBWLH-UHFFFAOYSA-N,NA,NA,NA,NA
Dicofol,NA,CAS_115-32-2,UOAMTSKGCBMZTC-UHFFFAOYSA-N,NA,NA,NA,NA
Trifenylfosfat (TPhP),NA,CAS_115-86-6,XZZNDPSIHUTMOC-UHFFFAOYSA-N,NA,NA,NA,NA
Tri(2-kloroetyl)fosfat (TCEP),NA,CAS_115-96-8,HQUQLFOMPYWACS-UHFFFAOYSA-N,NA,NA,NA,NA
Linalylformat,NA,CAS_115-99-1,JZOCDHMHLGUPFI-UHFFFAOYSA-N,NA,NA,NA,NA
N-(4-Bromfenyl)-4-difenylamin,NA,CAS_1160294-93-8,RDSXVQDXXSPFHG-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE209,NA,CAS_1163-19-5,WHHGLZMJPXIBIX-UHFFFAOYSA-N,NA,NA,NA,NA
Bis(2-etylheksyl)ftalat,NA,CAS_117-81-7,BJQHLKABXJIVAM-UHFFFAOYSA-N,NA,NA,NA,NA
Bis(2-metoksyetyl)ftalat,NA,CAS_117-82-8,HSUIVCLOAAJSRE-UHFFFAOYSA-N,NA,NA,NA,NA
Bis(2-butoksyetyl)ftalat,NA,CAS_117-83-9,CMCJNODIWQEOAI-UHFFFAOYSA-N,NA,NA,NA,NA
Dioktylftalat,NA,CAS_117-84-0,MQIUGAXCHLFZKX-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE184,NA,CAS_117948-63-7,JHDCZVAQPRXHEL-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE197,NA,CAS_117964-21-3,AAFUUKPTSPVXJH-UHFFFAOYSA-N,NA,NA,NA,NA
Homosalat,NA,CAS_118-56-9,WSSJONWNBBTCMG-UHFFFAOYSA-N,NA,NA,NA,NA
Heksaklorbenzen,NA,CAS_118-74-1,CKAPSXZOOQJIBF-UHFFFAOYSA-N,NA,NA,NA,NA
Tribromfenol,NA,CAS_118-79-6,BSWWXRFVMJHFBN-UHFFFAOYSA-N,NA,NA,NA,NA
"4,4'-Metylen bis(2,6-ditertbutylfenol)",NA,CAS_118-82-1,MDWVSAYEQPLWMX-UHFFFAOYSA-N,NA,NA,NA,NA
Antioksidant 2246,NA,CAS_119-47-1,KGRVJHAUYBGFFP-UHFFFAOYSA-N,NA,NA,NA,NA
Emamektin,NA,CAS_119791-41-2,CXEGAUYXQAKHKJ-APFPJSSDSA-N,NA,NA,NA,NA
Sum triklorbenzener (alle isomere),Stressor,CAS_12002-48-1,NA,NA,Mixture,NA,NA
Antracen,NA,CAS_120-12-7,MWPLVEDNUUSJAV-UHFFFAOYSA-N,NA,NA,NA,NA
"1H,1H,2H,2H-perfluordodekansulfonsyre (10:2 FTS)",NA,CAS_120226-60-0,AJMAYLFJZQYRHN-UHFFFAOYSA-N,NA,NA,NA,NA
Diklorprop,NA,CAS_120-36-5,MZHCENGPTKEIGP-UHFFFAOYSA-N,NA,NA,NA,NA
"1,3-DPMA",NA,CAS_120442-40-2,BUHVIAUBTBOHAG-DXOKPZAMSA-N,NA,NA,NA,NA
Dibenzoylmetan,NA,CAS_120-46-7,NZZIMKJIVMHWJC-UHFFFAOYSA-N,NA,NA,NA,NA
Etylparaben,NA,CAS_120-47-8,NUVBSKCKDOMJSU-UHFFFAOYSA-N,NA,NA,NA,NA
2-Metylbenzotiazol,NA,CAS_120-75-2,DXYYSGDWQCSKKO-UHFFFAOYSA-N,NA,NA,NA,NA
"2,2'-Ditiobisbenzotiazol",NA,CAS_120-78-5,AFZSMODLJJCVPP-UHFFFAOYSA-N,NA,NA,NA,NA
"1,2,4-triklorbenzen",NA,CAS_120-82-1,PBKONEOXTCPAFI-UHFFFAOYSA-N,NA,NA,NA,NA
"2,4-diklorfenol",NA,CAS_120-83-2,HFZWRUODUSTPEG-UHFFFAOYSA-N,NA,NA,NA,NA
"2,4-di-tert-pentylfenol",NA,CAS_120-95-6,WMVJWKURWRGJCI-UHFFFAOYSA-N,NA,NA,NA,NA
3-tert-butyl-4-hydroksyanisol,NA,CAS_121-00-6,MRBKEAMVRSLQPH-UHFFFAOYSA-N,NA,NA,NA,NA
Simazin,NA,CAS_122-34-9,ODCWYMIRDDJXKW-UHFFFAOYSA-N,NA,NA,NA,NA
4-etylfenol,NA,CAS_123-07-9,HXDOZKJGKXYMEW-UHFFFAOYSA-N,NA,NA,NA,NA
2-metyl-2-(nitroamino)-1-propanol,NA,CAS_1239666-60-4,WTIFXEKZEYZXMJ-UHFFFAOYSA-N,NA,NA,NA,NA
Sum tetraklorbenzen (alle isomere),Stressor,CAS_12408-10-5,NA,NA,Mixture,NA,NA
2-Etylhexyldifenylfosfat (EHDPP),NA,CAS_1241-94-7,CGSLYBDCEGBZCG-UHFFFAOYSA-N,NA,NA,NA,NA
"N,N-dimethyloctadecan-1-amine",NA,CAS_124-28-7,NAPSCFZYZVSQHF-UHFFFAOYSA-N,NA,NA,NA,NA
Quinoxyfen,NA,CAS_124495-18-7,WRPIRSINYZBGPK-UHFFFAOYSA-N,NA,NA,NA,NA
2-Amino-2-metylpropanol,NA,CAS_124-68-5,CBTVGIZVANVGBH-UHFFFAOYSA-N,NA,NA,NA,NA
Triisobutylfosfat (TIBP),NA,CAS_126-71-6,HRKAMJBPFPHCSD-UHFFFAOYSA-N,NA,NA,NA,NA
Tributylfosfat (TBP),NA,CAS_126-73-8,STCOOQWBFONSKY-UHFFFAOYSA-N,NA,NA,NA,NA
"1,1,2,2-Tetrakloreten",NA,CAS_127-18-4,CYTYCFOTNPOANT-UHFFFAOYSA-N,NA,NA,NA,NA
Bisfenol G,NA,CAS_127-54-8,IJWIRZQYWANBMP-UHFFFAOYSA-N,NA,NA,NA,NA
beta-Pinen,NA,CAS_127-91-3,WTARULDDTDQWMU-UHFFFAOYSA-N,NA,NA,NA,NA
Butylert hydroksytoluen (BHT),NA,CAS_128-37-0,NLZUEZXRPGMBCV-UHFFFAOYSA-N,NA,NA,NA,NA
"2,6-ditert-butylfenol",NA,CAS_128-39-2,DKCPKDPYUFEZCP-UHFFFAOYSA-N,NA,NA,NA,NA
Tetrabrompyren,NA,CAS_128-63-2,ZKBKRTZIYOKNRG-UHFFFAOYSA-N,NA,NA,NA,NA
Pyren,NA,CAS_129-00-0,BBEAQIROQSPTKN-UHFFFAOYSA-N,NA,NA,NA,NA
Bisfenol TMC,NA,CAS_129188-99-4,UMPGNGRIGSEMTC-UHFFFAOYSA-N,NA,NA,NA,NA
"3,4-DCBTC",NA,CAS_13014-24-9,ATYLRBXENHNROH-UHFFFAOYSA-N,NA,NA,NA,NA
Dimetylftalat,NA,CAS_131-11-3,NIQCNGHVCWTJSM-UHFFFAOYSA-N,NA,NA,NA,NA
Dipropylftalat,NA,CAS_131-16-8,MQHNKCZKNAJROC-UHFFFAOYSA-N,NA,NA,NA,NA
Dipentylftalat,NA,CAS_131-18-0,IPKKHRVROFYTEK-UHFFFAOYSA-N,NA,NA,NA,NA
Fosforpentoksid (P2O5),NA,CAS_1314-56-3,YWEUIGNSBFLMFL-UHFFFAOYSA-N,NA,NA,NA,NA
Benzofenon-3,NA,CAS_131-57-7,DXGLGDHPHMLXJC-UHFFFAOYSA-N,NA,NA,NA,NA
Pentaklornaftalen,NA,CAS_1321-64-8,JRZKNHITLINYHV-UHFFFAOYSA-N,NA,NA,NA,NA
Triklornaftalen,NA,CAS_1321-65-9,QEPTXDCPBXMWJC-UHFFFAOYSA-N,NA,NA,NA,NA
C1-Naftalener,NA,CAS_1321-94-4,NA,NA,NA,NA,NA
Decylbenzensulfonat (C10),NA,CAS_1322-98-1,RLJSXMVTLMHXJS-UHFFFAOYSA-M,NA,NA,NA,NA
Heksafluorpropylenoksid dimersyre (HFPO-DA),NA,CAS_13252-13-6,CSEBNABAWMZWIF-UHFFFAOYSA-N,NA,NA,NA,NA
"Perfluor-2,5-dimetyl-3,6-dioksanonansyre",NA,CAS_13252-14-7,OIVQVBDAMYDDEM-UHFFFAOYSA-N,NA,NA,NA,NA
Dibenzofuran,NA,CAS_132-64-9,TXCDCPKCNAJMEE-UHFFFAOYSA-N,NA,NA,NA,NA
Dibenzotiofen,NA,CAS_132-65-0,IYYZUPMFVPLQIF-UHFFFAOYSA-N,NA,NA,NA,NA
Xylen (sum alle isomerer),Stressor,CAS_1330-20-7,NA,NA,Mixture,NA,NA
Trikresylfosfat (TCrP),NA,CAS_1330-78-5,BOSMZFBHAYFUBJ-UHFFFAOYSA-N,NA,NA,NA,NA
3-Hydroksybenzo[a]pyren,NA,CAS_13345-21-6,SPUUWWRWIAEPDB-UHFFFAOYSA-N,NA,NA,NA,NA
Heksaklornaftalen,NA,CAS_1335-87-1,CTLMCQOGOWNFHA-UHFFFAOYSA-N,NA,NA,NA,NA
Tetraklornaftalen,NA,CAS_1335-88-2,NAQWICRLNQSPPW-UHFFFAOYSA-N,NA,NA,NA,NA
Sum PCB (må spesifiseres),Stressor,CAS_1336-36-3,NA,NA,Mixture,NA,NA
a-HBCDD,NA,CAS_134237-50-6,DEIGXXQKDWULML-PQTSNVLCSA-N,NA,NA,NA,NA
b-HBCDD,NA,CAS_134237-51-7,DEIGXXQKDWULML-UFVWWTPHSA-N,NA,NA,NA,NA
g-HBCDD,NA,CAS_134237-52-8,DEIGXXQKDWULML-MOCCIAMBSA-N,NA,NA,NA,NA
Atorvastatin (legemiddel),NA,CAS_134523-00-5,XUKUURHRXDUEBC-KAYWLYCHSA-N,NA,NA,NA,NA
3-Caren,NA,CAS_13466-78-9,BQOFWKZOCNGFEC-UHFFFAOYSA-N,NA,NA,NA,NA
Tellur,NA,CAS_13494-80-9,PORWMNRCUJJQNO-UHFFFAOYSA-N,NA,NA,NA,NA
"N,N'-ditiodi-o-fenylenedibenzamid",NA,CAS_135-57-9,ZHMIOPLMFZVSHY-UHFFFAOYSA-N,NA,NA,NA,NA
Mefenpyr-dietyl,NA,CAS_135590-91-9,OPGCOAPTHCZZIW-UHFFFAOYSA-N,NA,NA,NA,NA
Dekloran A,NA,CAS_13560-89-9,UGQQAJOWXNCOPY-UHFFFAOYSA-N,NA,NA,NA,NA
Dekloran 601,NA,CAS_13560-90-2,COOHPPAZRZIWHM-UHFFFAOYSA-N,NA,NA,NA,NA
Klorden Plus,NA,CAS_13560-91-3,FUVVGRBPINDFIQ-UHFFFAOYSA-N,NA,NA,NA,NA
Dekloran 603,NA,CAS_13560-92-4,WSEXCYJMFQVEIN-UHFFFAOYSA-N,NA,NA,NA,NA
Dekloran Plus syn,NA,CAS_135821-03-3,UGQQAJOWXNCOPY-MXYLTYEXSA-N,NA,NA,NA,NA
"1,5-DPMA",NA,CAS_135821-04-4,NA,NA,Not found,NA,NA
Dekloran Plus anti,NA,CAS_135821-74-8,UGQQAJOWXNCOPY-VBCJEVMVSA-N,NA,NA,NA,NA
Bisfenol M,NA,CAS_13595-25-0,PVFQHGDIOXNKIC-UHFFFAOYSA-N,NA,NA,NA,NA
PBB209,NA,CAS_13654-09-6,AQPHBYQUCKHJLT-UHFFFAOYSA-N,NA,NA,NA,NA
Sum PCDF,Stressor,CAS_136677-10-6,NA,NA,Mixture,NA,NA
Tri(1-klor-2-propyl) fosfat,NA,CAS_13674-84-5,KVMPUXDNESXNOH-UHFFFAOYSA-N,NA,NA,NA,NA
"Tri(1,3-diklor-2-propyl) fosfat (TDCP)",NA,CAS_13674-87-8,ASLWPAWFJZFCKF-UHFFFAOYSA-N,NA,NA,NA,NA
Bensotiasol-2-ylamin,NA,CAS_136-95-8,UHGULLIUJBCTEF-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorpentadekanesulfonsyre (PFPeS)(,NA,CAS_1379460-34-0,XEMFUSUHNOPSDA-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluortetradekansulfonsyre (PFTS),NA,CAS_1379460-39-5,APTHHQMMNKGQCK-UHFFFAOYSA-N,NA,NA,NA,NA
IN-70941,NA,CAS_138724-53-5,YKUAHBLGZCTWPS-UHFFFAOYSA-N,NA,NA,NA,NA
Kalium-40,NA,CAS_13966-00-2,ZLMJMSJWJFRBEC-OUBTZVSYSA-N,NA,NA,NA,NA
Uran-234,NA,CAS_13966-29-5,JFALSRSLKYAFGM-AHCXROLUSA-N,NA,NA,NA,NA
4-tert-Oktylfenol,NA,CAS_140-66-9,ISAVYTVYFVQUDY-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluorpentadekansyre (PFPeDA),NA,CAS_141074-63-7,BJNCSIWIMCWIMS-UHFFFAOYSA-N,NA,NA,NA,NA
Monoetanolamin,NA,CAS_141-43-5,HZAXFHJVJLSVMW-UHFFFAOYSA-N,NA,NA,NA,NA
Dekametyltetrasiloksan (L4),NA,CAS_141-62-8,YFCGDEUVHLPRCZ-UHFFFAOYSA-N,NA,NA,NA,NA
Dodekametylpentasiloksan (L5),NA,CAS_141-63-9,FBZANXDWQAVSTQ-UHFFFAOYSA-N,NA,NA,NA,NA
Guanylurea (legemiddel),NA,CAS_141-83-3,SQSPRWMERUQXNE-UHFFFAOYSA-N,NA,NA,NA,NA
"3,5-ditert-butyl-4-hydroksybenzosyre",NA,CAS_1421-49-4,YEXOWHQZWLCHHD-UHFFFAOYSA-N,NA,NA,NA,NA
Bly-210,NA,CAS_14255-04-0,WABPQHHGFIMREM-AKLPVKDBSA-N,NA,NA,NA,NA
OH-PCB146,NA,CAS_145413-90-7,KVRQWFNZIYFJRU-UHFFFAOYSA-N,NA,NA,NA,NA
Tetrabutyltinn (TTBT),NA,CAS_1461-25-2,AFCAKJKUYFLYFK-UHFFFAOYSA-N,NA,NA,NA,NA
Oksolinsyre,NA,CAS_14698-29-4,KYGZCKSPAKDVKC-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE17,NA,CAS_147217-75-2,VYBFILXLBMWOLI-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE35,NA,CAS_147217-80-9,CDVYKQPKJYPWRO-UHFFFAOYSA-N,NA,NA,NA,NA
Bisfenol AF,NA,CAS_1478-61-1,ZFVMWEVVKGLCIJ-UHFFFAOYSA-N,NA,NA,NA,NA
Nitrat,NA,CAS_14797-55-8,NHNBFGGVMKEFGY-UHFFFAOYSA-N,NA,NA,NA,NA
Nitritt,NA,CAS_14797-65-0,IOVCWXUNBOPUCH-UHFFFAOYSA-M,NA,NA,NA,NA
Ammonium,NA,CAS_14798-03-9,QGZKDVFQNNGYKY-UHFFFAOYSA-O,NA,NA,NA,NA
"1H,2H-perfluortetradekansulfonsyre (12:2 FTS)",NA,CAS_149246-64-0,HROXNRPVGFCRKZ-UHFFFAOYSA-N,NA,NA,NA,NA
2-Mercaptobenzotiazol,NA,CAS_149-30-4,YXIWHUQXZSMYRE-UHFFFAOYSA-N,NA,NA,NA,NA
OH-PCB138,NA,CAS_149589-59-3,IFMBZIUKIZYLED-UHFFFAOYSA-N,NA,NA,NA,NA
Uran-235,NA,CAS_15117-96-1,JFALSRSLKYAFGM-OIOBTWANSA-N,NA,NA,NA,NA
Natriumdodecylsulfat,NA,CAS_151-21-3,DBMJMQXJHONAFJ-UHFFFAOYSA-M,NA,NA,NA,NA
IN-70942,NA,CAS_151331-80-5,AFOZBVKCZXHDER-UHFFFAOYSA-N,NA,NA,NA,NA
"Perfluor-3,6-dioksaheptansyre (36O2-PFHpA)",NA,CAS_151772-58-6,PPWRLPJIHGWGFH-UHFFFAOYSA-N,NA,NA,NA,NA
Tribromneopentylalkohol,NA,CAS_1522-92-5,QEJPOEGPNIVDMK-UHFFFAOYSA-N,NA,NA,NA,NA
Dioktyltinn kation (DOT),NA,CAS_15231-44-4,IFYGUNVJGWHEBO-UHFFFAOYSA-N,NA,NA,NA,NA
Monooktyltinn kation (MOT),NA,CAS_15231-57-9,ZMHZSHHZIKJFIR-UHFFFAOYSA-N,NA,NA,NA,NA
Radium-228,NA,CAS_15262-20-1,HCWPIIXVSYCSAN-NJFSPNSNSA-N,NA,NA,NA,NA
OH-PCB107,NA,CAS_152969-11-4,WGNCTWHUJUDFCH-UHFFFAOYSA-N,NA,NA,NA,NA
6-Hydroksypaclitaxel (legemiddelrest),NA,CAS_153212-75-0,NDCWHEDPSFRTDA-FJMWQILYSA-N,NA,NA,NA,NA
Cefalotin (legemiddel),NA,CAS_153-61-7,XIURVHNZVLADCM-IUODEOHRSA-N,NA,NA,NA,NA
Jern(II),NA,CAS_15438-31-0,CWYNVVGOOAEACU-UHFFFAOYSA-N,NA,NA,NA,NA
7H-dodekafluorheptansyre (HPFHpA),NA,CAS_1546-95-8,JZHDEEOTEUVLHR-UHFFFAOYSA-N,NA,NA,NA,NA
Iscotrizinol (UV-310),NA,CAS_154702-15-5,OSCJHTSDLYVCQC-UHFFFAOYSA-N,NA,NA,NA,NA
"cis-1,2-dikloreten",NA,CAS_156-59-2,KFUSEUYYWQURPO-UPHRSURJSA-N,NA,NA,NA,NA
"trans-1,2-dikloreten",NA,CAS_156-60-5,KFUSEUYYWQURPO-OWOJBTEDSA-N,NA,NA,NA,NA
Bisfenol AP,NA,CAS_1571-75-1,VOWWYDCFAISREI-UHFFFAOYSA-N,NA,NA,NA,NA
"4,4'-di-tert-oktyldifenylamin",NA,CAS_15721-78-5,GQBHYWDCHSZDQU-UHFFFAOYSA-N,NA,NA,NA,NA
"3,6-dimetylfenantren",NA,CAS_1576-67-6,OMIBPZBOAJFEJS-UHFFFAOYSA-N,NA,NA,NA,NA
OH-PCB159,NA,CAS_158076-63-2,PZAKBNHYWBSZAF-UHFFFAOYSA-N,NA,NA,NA,NA
OH-PCB172,NA,CAS_158076-64-3,NMAGXCAAKZMNOI-UHFFFAOYSA-N,NA,NA,NA,NA
OH-PCB187,NA,CAS_158076-68-7,RPXRFGDJHIVRSM-UHFFFAOYSA-N,NA,NA,NA,NA
OH-PCB180,NA,CAS_158076-69-8,JCUBQOKFGUXHFL-UHFFFAOYSA-N,NA,NA,NA,NA
Trifluralin,NA,CAS_1582-09-8,ZSDSQXJSNMTJDA-UHFFFAOYSA-N,NA,NA,NA,NA
Natriumlauretsulfat,NA,CAS_15826-16-1,ASEFUFIKYOCPIJ-UHFFFAOYSA-M,NA,NA,NA,NA
"2,3,4-triklorfenol",NA,CAS_15950-66-0,HSQFVBWFPBKHEB-UHFFFAOYSA-N,NA,NA,NA,NA
Alaklor,NA,CAS_15972-60-8,XCSGPAVHZFQHGE-UHFFFAOYSA-N,NA,NA,NA,NA
"3,5-ditert-butyl-4-hydroksybenzaldehyd",NA,CAS_1620-98-0,DOZRDZLFLOODMB-UHFFFAOYSA-N,NA,NA,NA,NA
Metyl tert-butyleter,NA,CAS_1634-04-4,BZLVMXJERCGZMT-UHFFFAOYSA-N,NA,NA,NA,NA
"N,N-Dimetyldodecylamin N-oksid",NA,CAS_1643-20-5,SYELZBGXAIXKHU-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluoroktadekansyre (PFOcDA),NA,CAS_16517-11-6,ZTSDOGSKTICNPQ-UHFFFAOYSA-N,NA,NA,NA,NA
PCB31,NA,CAS_16606-02-3,VAHKBZSAUKPEOV-UHFFFAOYSA-N,NA,NA,NA,NA
"2-amino-4-metoksy-6-metyl-1,3,5-triazin (IN-A4098)",NA,CAS_1668-54-8,NXFQWRWXEYTOTK-UHFFFAOYSA-N,NA,NA,NA,NA
N-etyl perfluoroktansulfonamid etanol (N-EtFOSE),NA,CAS_1691-99-2,HUFHNYZNTFSKCT-UHFFFAOYSA-N,NA,NA,NA,NA
OH-PCB118,NA,CAS_170946-11-9,JROZAXVKMMXVBS-UHFFFAOYSA-N,NA,NA,NA,NA
3-Nitrobenzantron (3-NBA),NA,CAS_17117-34-9,QAJOWHGESRCVLY-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluornonansulfonsyre (PFNS),NA,CAS_17202-41-4,CCLOSADEZDSARB-UHFFFAOYSA-N,NA,NA,NA,NA
"Perfluor-3,7-dimetyloktansyre (PF-3,7-DMOA)",NA,CAS_172155-07-6,KZUSAXRVIONPJU-UHFFFAOYSA-N,NA,NA,NA,NA
Behentrimonium chloride (ATAC-C22),NA,CAS_17301-53-0,YSJGOMATDFSEED-UHFFFAOYSA-M,NA,NA,NA,NA
TCDD (D48),NA,CAS_1746-01-6,HGUFODBRKLSHSI-UHFFFAOYSA-N,NA,NA,NA,NA
"2,6 ditert-butyl-4-sec-butylfenol (Vanox)",NA,CAS_17540-75-9,BFZOTKYPSZSDEV-UHFFFAOYSA-N,NA,NA,NA,NA
Perfluoroktansulfonsyre (PFOS),NA,CAS_1763-23-1,YFSUTJLHUFNCNZ-UHFFFAOYSA-N,NA,NA,NA,NA
(Z)-EHMC,NA,CAS_177352-99-7,YBGZDTIWKVFICR-RAXLEYEMSA-N,NA,NA,NA,NA
Metyltris(trimetylsiloksy)silan,NA,CAS_17928-28-8,RGMZNZABJYWAEC-UHFFFAOYSA-N,NA,NA,NA,NA
Bortezomib (legemiddel),NA,CAS_179324-69-7,GXJABQQUPOEUTA-RDJZCZTQSA-N,NA,NA,NA,NA
4-n-Oktylfenol,NA,CAS_1806-26-4,NTDQQZYCCIDJRK-UHFFFAOYSA-N,NA,NA,NA,NA
PBDE85,NA,CAS_182346-21-0,DMLQSUZPTTUUDP-UHFFFAOYSA-N,NA,NA,NA,NA
